NameToDisplay,Size,Brand,Marketing Group,Category,Stock(Unit1),SaleRate,MRP,Sale Rate Value,Product,Stock(Unit2),Stock,StockUnit,Unit1,Unit2,Stock Value,IsVirtual,Status,ProdConv1,SellLoose,StockLocation,Rate
12gm C ,38,12gm,GENTS WEAR,JEANS<,1.0,995.0,1195.0,995.0,C,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
16ps-Gaun 500021,free,16ps-gaun,GIRLS WEAR,Gown-16ps,1.0,3150.0,3150.0,3150.0,500021,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1st Casual 6368 32/34/36/38/40,34,1st casual,BABA KIDS WEAR,JEANS,1.0,755.0,755.0,755.0,6368,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,L,1ststep,GENTS WEAR,Capri-Hosiery <,6.0,295.0,507.0,1770.0,track capri,6.0,6.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,XXL,1ststep,GENTS WEAR,Capri-Hosiery <,5.0,305.0,517.0,1525.0,track capri,5.0,5.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,4XL,1ststep,GENTS WEAR,Capri-Hosiery <,2.0,335.0,560.0,670.0,track capri,2.0,2.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,XXL,1ststep,GENTS WEAR,Capri-Hosiery <,3.0,310.0,517.0,930.0,track capri,3.0,3.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,M,1ststep,GENTS WEAR,Capri-Hosiery <,1.0,295.0,507.0,295.0,track capri,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,XL,1ststep,GENTS WEAR,Capri-Hosiery <,3.0,295.0,517.0,885.0,track capri,3.0,3.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,3XL,1ststep,GENTS WEAR,Capri-Hosiery <,1.0,320.0,534.0,320.0,track capri,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep track capri ,M,1ststep,GENTS WEAR,Capri-Hosiery <,4.0,295.0,507.0,1180.0,track capri,4.0,4.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep TrackPant ,46,1ststep,GENTS WEAR,Lower-Hosiery <,5.0,390.0,390.0,1950.0,TrackPant,5.0,5.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
